names	cells.sorted	µl.of.RNA	sample.group	Tcell.spec	replicate.number	tissue	group	AAV.status	CART.status	files
17A	61000	20	TY	OVA	2	SC	SC.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/17A_quant/quant.sf
17B	62000	20	TY	bSYN	2	SC	SC.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/17B_quant/quant.sf
18B	91000	20	CY	bSYN	3	SC	SC.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/18B_quant/quant.sf
19A	50000	20	TY	OVA	3	SC	SC.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/19A_quant/quant.sf
19B	72000	20	TY	bSYN	3	SC	SC.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/19B_quant/quant.sf
20A	25000	20	CY	OVA	4	SC	SC.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/20A_quant/quant.sf
20B	48000	20	CY	bSYN	4	SC	SC.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/20B_quant/quant.sf
21A	18500	20	CN	OVA	1	SC	SC.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/21A_quant/quant.sf
21B	31000	20	CN	bSYN	1	SC	SC.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/21B_quant/quant.sf
22A	28000	20	CN	OVA	2	SC	SC.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/22A_quant/quant.sf
22B	43000	20	CN	bSYN	2	SC	SC.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/22B_quant/quant.sf
23A	25400	20	TN	OVA	1	SC	SC.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/23A_quant/quant.sf
23B	34800	20	TN	bSYN	1	SC	SC.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/23B_quant/quant.sf
24B	58000	20	CN	bSYN	3	SC	SC.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/24B_quant/quant.sf
25A	20000	20	TN	OVA	2	SC	SC.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/25A_quant/quant.sf
25B	26000	20	TN	bSYN	2	SC	SC.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/25B_quant/quant.sf
26A	25000	20	TN	OVA	3	SC	SC.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/26A_quant/quant.sf
26B	30600	20	TN	bSYN	3	SC	SC.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/26B_quant/quant.sf
27A	3400	40	CY	OVA	1	blood	blood.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/27A_quant/quant.sf
27B	3100	40	CY	bSYN	1	blood	blood.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/27B_quant/quant.sf
28A	1183	20	TY	OVA	1	blood	blood.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/28A_quant/quant.sf
28B	1424	20	TY	bSYN	1	blood	blood.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/28B_quant/quant.sf
29A	2627	20	TY	OVA	2	blood	blood.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/29A_quant/quant.sf
29B	3263	20	TY	bSYN	2	blood	blood.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/29B_quant/quant.sf
